path,slug,title,artist,year,track_file,md_exists,bc_url,bc_type,folder_exists,n_files
2013 - ceticencias-issamu-minami-2013,ceticencias-issamu-minami-2013,issamu-minami-2013,ceticencias,2013,ceticencias-issamu-minami-2013.mp3,True,https://ceticencias.bandcamp.com/**](https://ceticencias.bandcamp.com,generic,True,2
2013 - chacal-em-casa-ep-2013,chacal-em-casa-ep-2013,em-casa-ep-2013,chacal,2013,chacal-em-casa-ep-2013.mp3,True,https://chcl.bandcamp.com,generic,True,2
2013 - chacal-ep-2013,chacal-ep-2013,ep-2013,chacal,2013,chacal-ep-2013.mp3,True,https://chcl.bandcamp.com,generic,True,2
2013 - chacon-chaka-nights-2013,chacon-chaka-nights-2013,chaka-nights-2013,chacon,2013,chacon-chaka-nights-2013.mp3,True,https://chaconchakanights.bandcamp.com,generic,True,2
2013 - Champu Demo Ep,champu-demo-ep-2013,Champu Demo Ep,,2013,champu-demo-ep-2013.mp3,True,http://champu.bandcamp.com/album/champu-demo-ep,album,True,2
2013 - chancho-quebrando-as-correntes-ep-2013,chancho-quebrando-as-correntes-ep-2013,quebrando-as-correntes-ep-2013,chancho,2013,chancho-quebrando-as-correntes-ep-2013.mp3,True,https://chancho.bandcamp.com/**](https://chancho.bandcamp.com,generic,True,2
2013 - ChicoCorrea + Dj Dolores - Ao Vivo - Festival Continuum,YTIC - Ao Vivo - Festival Continuum,Ao Vivo - Festival Continuum,ChicoCorrea + Dj Dolores,2013,YTIC - Ao Vivo - Festival Continuum.mp3,False,,none,True,2
2013 - CHIPPANZE - Ao Vivo no L.I.A,coletivo-chippanze-ao-vivo-no-live-in,Ao Vivo no L.I.A,CHIPPANZE,2013,coletivo-chippanze-ao-vivo-no-live-in.mp3,True,,none,True,2
2013 - cia-de-pasteis-okinawa-2013,cia-de-pasteis-okinawa-2013,de-pasteis-okinawa-2013,cia,2013,cia-de-pasteis-okinawa-2013.mp3,True,http://kimusorecords.bandcamp.com/album/-**](http://kimusorecords.bandcamp.com/album/-,album,True,2
2013 - City Fuss City Fuss,city-fuss-city-fuss-2013,City Fuss City Fuss,,2013,city-fuss-city-fuss-2013.mp3,True,https://cityfuss.bandcamp.com,generic,True,2
2013 - Clube Las Vegas Clube Las Vegas,clube-las-vegas-clube-las-vegas-2013,Clube Las Vegas Clube Las Vegas,,2013,clube-las-vegas-clube-las-vegas-2013.mp3,True,https://clubelasvegas.bandcamp.com**](https://clubelasvegas.bandcamp.com,generic,True,2
2013 - Coletanea Mpcp Records Last Punk Heroes,coletanea-mpcp-records-last-punk-heroes,Coletanea Mpcp Records Last Punk Heroes,,2013,coletanea-mpcp-records-last-punk-heroes.mp3,True,http://mpcprecords.bandcamp.com/album/the-last-punk-heroes**](http://mpcprecords.bandcamp.com/album/the-last-punk-heroes,album,True,2
2013 - Connection - Tribute to Conrad Schnitzler,gustavo-jobim-connection-tribute-to,Tribute to Conrad Schnitzler,Connection,2013,gustavo-jobim-connection-tribute-to.mp3,True,https://gustavojobim.bandcamp.com,generic,True,2
